Order_ID,Order_Date,Order_Priority,Ord_id
3,2010-10-13,LOW,Ord_1
293,2012-01-10,HIGH,Ord_2
483,2011-10-07,HIGH,Ord_3
515,2010-08-28,NOT SPECIFIED,Ord_4
613,2011-06-17,HIGH,Ord_5
643,2011-03-24,HIGH,Ord_6
678,2010-02-26,LOW,Ord_7
807,2010-11-23,MEDIUM,Ord_8
868,2012-08-06,NOT SPECIFIED,Ord_9
933,2012-04-08,NOT SPECIFIED,Ord_10
995,2011-05-30,MEDIUM,Ord_11
998,2009-11-25,NOT SPECIFIED,Ord_12
1154,2012-02-14,CRITICAL,Ord_13
1344,2012-04-15,LOW,Ord_14
1412,2010-12-03,NOT SPECIFIED,Ord_15
1539,2011-09-03,LOW,Ord_16
1540,2012-04-08,HIGH,Ord_17
1702,2011-06-05,HIGH,Ord_18
1761,2010-12-23,HIGH,Ord_19
1792,2010-08-11,LOW,Ord_20
2275,2012-10-21,NOT SPECIFIED,Ord_21
2277,2011-01-01,NOT SPECIFIED,Ord_22
2532,2011-10-10,HIGH,Ord_23
2631,2010-09-23,LOW,Ord_24
2791,2009-09-10,HIGH,Ord_26
2976,2010-09-12,NOT SPECIFIED,Ord_27
3232,2012-08-10,CRITICAL,Ord_28
3524,2012-02-05,HIGH,Ord_29
3908,2010-08-03,MEDIUM,Ord_30
4132,2011-05-28,NOT SPECIFIED,Ord_31
4612,2010-09-19,MEDIUM,Ord_32
4676,2011-08-31,HIGH,Ord_33
5284,2011-08-07,NOT SPECIFIED,Ord_34
5316,2009-01-30,CRITICAL,Ord_35
5409,2012-08-01,LOW,Ord_36
5506,2010-07-11,CRITICAL,Ord_37
5569,2010-04-29,NOT SPECIFIED,Ord_38
5607,2011-12-31,NOT SPECIFIED,Ord_39
5894,2009-12-08,HIGH,Ord_40
5925,2011-12-11,LOW,Ord_41
6016,2012-01-20,HIGH,Ord_42
6116,2009-03-20,MEDIUM,Ord_43
6182,2012-07-21,LOW,Ord_44
6535,2012-12-06,CRITICAL,Ord_45
6884,2009-01-15,LOW,Ord_46
6916,2010-04-06,LOW,Ord_47
6980,2010-02-18,NOT SPECIFIED,Ord_48
6982,2011-11-16,NOT SPECIFIED,Ord_49
7110,2011-07-08,LOW,Ord_50
7430,2010-08-06,MEDIUM,Ord_51
7906,2009-10-17,MEDIUM,Ord_52
8391,2011-08-28,HIGH,Ord_53
8419,2011-09-29,CRITICAL,Ord_54
8833,2012-04-05,LOW,Ord_55
8995,2011-05-17,HIGH,Ord_56
9126,2009-11-17,MEDIUM,Ord_57
9127,2011-10-10,NOT SPECIFIED,Ord_58
9509,2012-07-10,NOT SPECIFIED,Ord_59
9763,2011-08-13,MEDIUM,Ord_60
9927,2011-08-16,HIGH,Ord_61
10022,2009-04-03,LOW,Ord_62
10437,2009-08-18,CRITICAL,Ord_63
10499,2010-11-16,NOT SPECIFIED,Ord_64
10535,2011-05-27,LOW,Ord_65
10789,2010-08-23,NOT SPECIFIED,Ord_66
10791,2011-08-19,NOT SPECIFIED,Ord_67
10945,2012-03-01,MEDIUM,Ord_68
11137,2012-11-29,HIGH,Ord_69
11202,2012-03-17,MEDIUM,Ord_70
11456,2010-12-04,LOW,Ord_71
11460,2010-08-24,HIGH,Ord_72
11495,2011-04-07,HIGH,Ord_73
11911,2010-10-11,CRITICAL,Ord_74
11941,2010-06-24,CRITICAL,Ord_75
12096,2012-09-19,MEDIUM,Ord_76
12289,2011-12-24,LOW,Ord_77
12352,2012-03-23,MEDIUM,Ord_78
12419,2011-10-15,CRITICAL,Ord_79
12485,2010-07-08,CRITICAL,Ord_80
12544,2009-03-03,LOW,Ord_81
12704,2010-09-02,LOW,Ord_82
12771,2009-01-17,CRITICAL,Ord_83
12929,2010-08-30,CRITICAL,Ord_84
13280,2009-11-09,HIGH,Ord_85
13313,2009-07-16,NOT SPECIFIED,Ord_86
13346,2012-11-15,LOW,Ord_87
13702,2011-10-09,LOW,Ord_88
13795,2011-10-04,NOT SPECIFIED,Ord_89
14116,2011-09-10,HIGH,Ord_90
14372,2012-10-23,CRITICAL,Ord_91
14726,2012-08-01,LOW,Ord_92
14819,2010-01-25,NOT SPECIFIED,Ord_93
15106,2011-01-27,NOT SPECIFIED,Ord_94
15108,2009-08-27,HIGH,Ord_95
15205,2011-03-17,CRITICAL,Ord_96
15591,2012-06-06,CRITICAL,Ord_97
15907,2011-11-04,HIGH,Ord_98
15937,2012-06-11,LOW,Ord_99
16039,2012-05-16,HIGH,Ord_100
16193,2012-09-04,NOT SPECIFIED,Ord_101
16423,2012-05-08,MEDIUM,Ord_102
16451,2009-07-22,NOT SPECIFIED,Ord_103
16545,2010-09-05,NOT SPECIFIED,Ord_104
16547,2009-02-18,NOT SPECIFIED,Ord_105
16706,2012-06-27,HIGH,Ord_106
16741,2010-09-30,MEDIUM,Ord_107
16932,2010-04-15,CRITICAL,Ord_108
17283,2011-09-14,NOT SPECIFIED,Ord_109
17286,2010-09-21,HIGH,Ord_110
17409,2010-08-17,NOT SPECIFIED,Ord_111
17764,2009-09-16,LOW,Ord_112
18080,2009-06-22,HIGH,Ord_113
18113,2012-08-28,NOT SPECIFIED,Ord_114
18144,2011-07-06,CRITICAL,Ord_115
18308,2009-09-10,NOT SPECIFIED,Ord_116
18887,2010-05-12,NOT SPECIFIED,Ord_117
19010,2009-07-06,LOW,Ord_118
19078,2009-07-27,CRITICAL,Ord_119
19138,2011-05-09,LOW,Ord_120
19655,2009-11-01,HIGH,Ord_121
19686,2010-08-15,MEDIUM,Ord_122
20007,2009-05-08,NOT SPECIFIED,Ord_123
20071,2011-09-17,MEDIUM,Ord_124
20160,2011-10-22,LOW,Ord_125
20263,2009-11-14,MEDIUM,Ord_126
21285,2010-03-07,MEDIUM,Ord_127
21383,2009-01-30,LOW,Ord_128
21607,2012-03-15,NOT SPECIFIED,Ord_129
21636,2009-10-08,LOW,Ord_130
21889,2010-01-04,LOW,Ord_131
22151,2010-07-31,HIGH,Ord_132
22342,2009-05-29,LOW,Ord_133
22469,2010-11-10,HIGH,Ord_134
22501,2010-05-18,HIGH,Ord_135
22532,2011-08-02,CRITICAL,Ord_136
23264,2010-07-12,CRITICAL,Ord_137
23584,2012-12-03,CRITICAL,Ord_139
24007,2010-08-26,LOW,Ord_140
24038,2011-06-20,HIGH,Ord_141
24097,2010-04-08,HIGH,Ord_142
24128,2010-11-23,HIGH,Ord_143
24294,2009-02-08,NOT SPECIFIED,Ord_144
24387,2011-10-08,CRITICAL,Ord_145
24515,2010-06-05,CRITICAL,Ord_146
24743,2012-06-28,LOW,Ord_147
24871,2011-03-23,MEDIUM,Ord_148
25318,2011-11-19,CRITICAL,Ord_149
25377,2012-11-26,LOW,Ord_150
25634,2010-07-29,NOT SPECIFIED,Ord_151
25733,2012-12-05,LOW,Ord_152
25767,2012-03-03,HIGH,Ord_153
26023,2010-08-20,HIGH,Ord_154
26051,2010-06-27,NOT SPECIFIED,Ord_155
26116,2012-10-29,CRITICAL,Ord_156
26182,2010-01-16,NOT SPECIFIED,Ord_157
26272,2012-06-29,LOW,Ord_158
26370,2011-08-08,NOT SPECIFIED,Ord_159
26499,2010-02-21,MEDIUM,Ord_160
26531,2011-06-20,MEDIUM,Ord_161
26567,2009-04-09,CRITICAL,Ord_162
26854,2009-06-21,NOT SPECIFIED,Ord_163
27109,2012-08-02,CRITICAL,Ord_164
27111,2009-11-03,HIGH,Ord_165
27264,2011-04-06,LOW,Ord_166
27392,2012-02-03,LOW,Ord_167
27553,2011-12-08,MEDIUM,Ord_168
27555,2009-01-09,CRITICAL,Ord_169
27680,2010-01-26,CRITICAL,Ord_170
27778,2011-02-09,CRITICAL,Ord_171
27909,2012-07-02,CRITICAL,Ord_172
