Order_ID,Ship_Mode,Ship_Date,Ship_id
3,REGULAR AIR,2010-10-20,SHP_1
483,REGULAR AIR,2011-12-07,SHP_4
515,REGULAR AIR,2010-08-30,SHP_5
643,EXPRESS AIR,2011-03-25,SHP_8
678,REGULAR AIR,2010-02-26,SHP_9
807,REGULAR AIR,2010-11-24,SHP_10
933,REGULAR AIR,2012-04-08,SHP_13
995,REGULAR AIR,2011-05-31,SHP_14
998,REGULAR AIR,2009-11-26,SHP_15
1540,REGULAR AIR,2012-06-08,SHP_24
1702,REGULAR AIR,2011-07-05,SHP_25
1761,DELIVERY TRUCK,2010-12-25,SHP_26
1792,REGULAR AIR,2010-11-13,SHP_27
2275,REGULAR AIR,2012-10-22,SHP_28
2532,REGULAR AIR,2011-11-10,SHP_31
2631,REGULAR AIR,2010-09-25,SHP_32
2976,DELIVERY TRUCK,2010-11-12,SHP_37
3232,REGULAR AIR,2012-10-10,SHP_38
3524,REGULAR AIR,2012-03-05,SHP_39
3908,REGULAR AIR,2010-08-03,SHP_40
4132,REGULAR AIR,2011-05-30,SHP_41
4612,REGULAR AIR,2010-09-21,SHP_42
5284,REGULAR AIR,2011-10-07,SHP_46
5316,REGULAR AIR,2009-01-02,SHP_47
5409,REGULAR AIR,2012-01-13,SHP_48
5506,REGULAR AIR,2010-08-11,SHP_49
5569,REGULAR AIR,2010-01-05,SHP_50
5607,REGULAR AIR,2012-03-01,SHP_51
5925,REGULAR AIR,2011-11-19,SHP_54
6016,REGULAR AIR,2012-01-20,SHP_55
6535,EXPRESS AIR,2012-06-15,SHP_59
6884,REGULAR AIR,2009-01-20,SHP_60
6916,EXPRESS AIR,2010-08-06,SHP_61
6980,REGULAR AIR,2010-02-19,SHP_62
7110,REGULAR AIR,2011-11-08,SHP_66
7430,REGULAR AIR,2010-09-06,SHP_67
7906,REGULAR AIR,2009-10-17,SHP_68
8391,DELIVERY TRUCK,2011-08-29,SHP_69
8833,REGULAR AIR,2012-08-05,SHP_72
9126,REGULAR AIR,2009-11-18,SHP_76
9127,EXPRESS AIR,2011-12-10,SHP_77
9763,REGULAR AIR,2011-08-16,SHP_81
10022,REGULAR AIR,2009-04-03,SHP_85
10437,REGULAR AIR,2009-08-20,SHP_86
10499,DELIVERY TRUCK,2010-11-17,SHP_87
10789,EXPRESS AIR,2010-08-24,SHP_90
10791,REGULAR AIR,2011-08-21,SHP_91
10945,REGULAR AIR,2012-05-01,SHP_92
11137,REGULAR AIR,2012-11-30,SHP_93
11202,REGULAR AIR,2012-03-18,SHP_94
11456,REGULAR AIR,2010-04-19,SHP_95
11460,REGULAR AIR,2010-08-26,SHP_96
11495,DELIVERY TRUCK,2011-05-07,SHP_97
11911,REGULAR AIR,2010-12-11,SHP_98
12289,REGULAR AIR,2011-12-28,SHP_103
12352,REGULAR AIR,2012-03-24,SHP_104
12419,REGULAR AIR,2011-10-17,SHP_105
12485,DELIVERY TRUCK,2010-08-08,SHP_106
12544,REGULAR AIR,2009-10-03,SHP_107
13280,REGULAR AIR,2009-12-09,SHP_114
13346,REGULAR AIR,2012-11-20,SHP_116
13702,REGULAR AIR,2011-09-14,SHP_117
14372,DELIVERY TRUCK,2012-10-25,SHP_123
14726,REGULAR AIR,2012-08-01,SHP_124
15108,REGULAR AIR,2009-08-29,SHP_129
15591,REGULAR AIR,2012-08-06,SHP_132
16039,REGULAR AIR,2012-05-17,SHP_138
16193,REGULAR AIR,2012-11-04,SHP_139
16423,REGULAR AIR,2012-07-08,SHP_140
16451,REGULAR AIR,2009-07-23,SHP_141
16545,REGULAR AIR,2010-11-05,SHP_142
16741,REGULAR AIR,2010-01-10,SHP_147
17283,DELIVERY TRUCK,2011-09-15,SHP_150
17286,DELIVERY TRUCK,2010-09-22,SHP_151
17409,REGULAR AIR,2010-08-19,SHP_152
17764,REGULAR AIR,2009-09-16,SHP_153
18080,DELIVERY TRUCK,2009-06-23,SHP_154
18113,DELIVERY TRUCK,2012-08-30,SHP_155
18144,REGULAR AIR,2011-09-06,SHP_156
18887,REGULAR AIR,2010-07-12,SHP_160
19010,REGULAR AIR,2009-09-06,SHP_161
19078,REGULAR AIR,2009-07-28,SHP_162
19138,EXPRESS AIR,2011-10-09,SHP_163
19655,REGULAR AIR,2009-12-01,SHP_164
20007,REGULAR AIR,2009-06-08,SHP_167
20071,DELIVERY TRUCK,2011-09-19,SHP_168
20160,EXPRESS AIR,2011-10-24,SHP_169
21383,REGULAR AIR,2009-04-02,SHP_174
21607,REGULAR AIR,2012-03-17,SHP_175
22342,REGULAR AIR,2009-05-06,SHP_180
22469,REGULAR AIR,2010-10-13,SHP_181
22501,EXPRESS AIR,2010-05-19,SHP_182
22532,REGULAR AIR,2011-08-02,SHP_183
23264,REGULAR AIR,2010-09-12,SHP_184
23584,DELIVERY TRUCK,2012-03-14,SHP_186
24128,REGULAR AIR,2010-11-25,SHP_192
24294,DELIVERY TRUCK,2009-03-08,SHP_193
24515,DELIVERY TRUCK,2010-08-05,SHP_196
24871,REGULAR AIR,2011-03-24,SHP_199
25377,DELIVERY TRUCK,2012-03-12,SHP_201
25733,REGULAR AIR,2012-05-17,SHP_204
26023,REGULAR AIR,2010-08-21,SHP_207
26116,REGULAR AIR,2012-10-30,SHP_210
26272,EXPRESS AIR,2012-08-07,SHP_212
26499,REGULAR AIR,2010-02-22,SHP_215
26531,REGULAR AIR,2011-06-22,SHP_216
26854,REGULAR AIR,2009-06-22,SHP_220
27109,REGULAR AIR,2012-10-02,SHP_221
27264,REGULAR AIR,2011-06-06,SHP_225
27392,REGULAR AIR,2012-11-03,SHP_226
27555,REGULAR AIR,2009-03-09,SHP_229
27680,REGULAR AIR,2010-01-27,SHP_230
28003,REGULAR AIR,2011-03-21,SHP_235
28035,REGULAR AIR,2011-10-05,SHP_236
28165,REGULAR AIR,2012-11-07,SHP_239
28289,REGULAR AIR,2010-01-15,SHP_240
28486,REGULAR AIR,2009-08-27,SHP_241
