Order_ID,Order_Date,Order_Priority,Ord_id,Ship_Mode,Ship_Date,Ship_id,_merge
3,2010-10-13,LOW,Ord_1,REGULAR AIR,2010-10-20,SHP_1,both
293,2012-01-10,HIGH,Ord_2,,,,left_only
483,2011-10-07,HIGH,Ord_3,REGULAR AIR,2011-12-07,SHP_4,both
515,2010-08-28,NOT SPECIFIED,Ord_4,REGULAR AIR,2010-08-30,SHP_5,both
613,2011-06-17,HIGH,Ord_5,,,,left_only
643,2011-03-24,HIGH,Ord_6,EXPRESS AIR,2011-03-25,SHP_8,both
678,2010-02-26,LOW,Ord_7,REGULAR AIR,2010-02-26,SHP_9,both
807,2010-11-23,MEDIUM,Ord_8,REGULAR AIR,2010-11-24,SHP_10,both
868,2012-08-06,NOT SPECIFIED,Ord_9,,,,left_only
933,2012-04-08,NOT SPECIFIED,Ord_10,REGULAR AIR,2012-04-08,SHP_13,both
995,2011-05-30,MEDIUM,Ord_11,REGULAR AIR,2011-05-31,SHP_14,both
998,2009-11-25,NOT SPECIFIED,Ord_12,REGULAR AIR,2009-11-26,SHP_15,both
1154,2012-02-14,CRITICAL,Ord_13,,,,left_only
1344,2012-04-15,LOW,Ord_14,,,,left_only
1412,2010-12-03,NOT SPECIFIED,Ord_15,,,,left_only
1539,2011-09-03,LOW,Ord_16,,,,left_only
1540,2012-04-08,HIGH,Ord_17,REGULAR AIR,2012-06-08,SHP_24,both
1702,2011-06-05,HIGH,Ord_18,REGULAR AIR,2011-07-05,SHP_25,both
1761,2010-12-23,HIGH,Ord_19,DELIVERY TRUCK,2010-12-25,SHP_26,both
1792,2010-08-11,LOW,Ord_20,REGULAR AIR,2010-11-13,SHP_27,both
2275,2012-10-21,NOT SPECIFIED,Ord_21,REGULAR AIR,2012-10-22,SHP_28,both
2277,2011-01-01,NOT SPECIFIED,Ord_22,,,,left_only
2532,2011-10-10,HIGH,Ord_23,REGULAR AIR,2011-11-10,SHP_31,both
2631,2010-09-23,LOW,Ord_24,REGULAR AIR,2010-09-25,SHP_32,both
2791,2009-09-10,HIGH,Ord_26,,,,left_only
2976,2010-09-12,NOT SPECIFIED,Ord_27,DELIVERY TRUCK,2010-11-12,SHP_37,both
3232,2012-08-10,CRITICAL,Ord_28,REGULAR AIR,2012-10-10,SHP_38,both
3524,2012-02-05,HIGH,Ord_29,REGULAR AIR,2012-03-05,SHP_39,both
