Order_ID,Order_Date,Order_Priority,Ord_id,Ship_Mode,Ship_Date,Ship_id,_merge
3,2010-10-13,LOW,Ord_1,REGULAR AIR,2010-10-20,SHP_1,both
483,2011-10-07,HIGH,Ord_3,REGULAR AIR,2011-12-07,SHP_4,both
515,2010-08-28,NOT SPECIFIED,Ord_4,REGULAR AIR,2010-08-30,SHP_5,both
643,2011-03-24,HIGH,Ord_6,EXPRESS AIR,2011-03-25,SHP_8,both
678,2010-02-26,LOW,Ord_7,REGULAR AIR,2010-02-26,SHP_9,both
807,2010-11-23,MEDIUM,Ord_8,REGULAR AIR,2010-11-24,SHP_10,both
933,2012-04-08,NOT SPECIFIED,Ord_10,REGULAR AIR,2012-04-08,SHP_13,both
995,2011-05-30,MEDIUM,Ord_11,REGULAR AIR,2011-05-31,SHP_14,both
998,2009-11-25,NOT SPECIFIED,Ord_12,REGULAR AIR,2009-11-26,SHP_15,both
1540,2012-04-08,HIGH,Ord_17,REGULAR AIR,2012-06-08,SHP_24,both
1702,2011-06-05,HIGH,Ord_18,REGULAR AIR,2011-07-05,SHP_25,both
1761,2010-12-23,HIGH,Ord_19,DELIVERY TRUCK,2010-12-25,SHP_26,both
1792,2010-08-11,LOW,Ord_20,REGULAR AIR,2010-11-13,SHP_27,both
2275,2012-10-21,NOT SPECIFIED,Ord_21,REGULAR AIR,2012-10-22,SHP_28,both
2532,2011-10-10,HIGH,Ord_23,REGULAR AIR,2011-11-10,SHP_31,both
2631,2010-09-23,LOW,Ord_24,REGULAR AIR,2010-09-25,SHP_32,both
2976,2010-09-12,NOT SPECIFIED,Ord_27,DELIVERY TRUCK,2010-11-12,SHP_37,both
3232,2012-08-10,CRITICAL,Ord_28,REGULAR AIR,2012-10-10,SHP_38,both
3524,2012-02-05,HIGH,Ord_29,REGULAR AIR,2012-03-05,SHP_39,both
3908,2010-08-03,MEDIUM,Ord_30,REGULAR AIR,2010-08-03,SHP_40,both
4132,2011-05-28,NOT SPECIFIED,Ord_31,REGULAR AIR,2011-05-30,SHP_41,both
4612,2010-09-19,MEDIUM,Ord_32,REGULAR AIR,2010-09-21,SHP_42,both
5284,2011-08-07,NOT SPECIFIED,Ord_34,REGULAR AIR,2011-10-07,SHP_46,both
5316,2009-01-30,CRITICAL,Ord_35,REGULAR AIR,2009-01-02,SHP_47,both
5409,2012-08-01,LOW,Ord_36,REGULAR AIR,2012-01-13,SHP_48,both
5506,2010-07-11,CRITICAL,Ord_37,REGULAR AIR,2010-08-11,SHP_49,both
5569,2010-04-29,NOT SPECIFIED,Ord_38,REGULAR AIR,2010-01-05,SHP_50,both
5607,2011-12-31,NOT SPECIFIED,Ord_39,REGULAR AIR,2012-03-01,SHP_51,both
5925,2011-12-11,LOW,Ord_41,REGULAR AIR,2011-11-19,SHP_54,both
6016,2012-01-20,HIGH,Ord_42,REGULAR AIR,2012-01-20,SHP_55,both
6535,2012-12-06,CRITICAL,Ord_45,EXPRESS AIR,2012-06-15,SHP_59,both
6884,2009-01-15,LOW,Ord_46,REGULAR AIR,2009-01-20,SHP_60,both
6916,2010-04-06,LOW,Ord_47,EXPRESS AIR,2010-08-06,SHP_61,both
6980,2010-02-18,NOT SPECIFIED,Ord_48,REGULAR AIR,2010-02-19,SHP_62,both
7110,2011-07-08,LOW,Ord_50,REGULAR AIR,2011-11-08,SHP_66,both
7430,2010-08-06,MEDIUM,Ord_51,REGULAR AIR,2010-09-06,SHP_67,both
7906,2009-10-17,MEDIUM,Ord_52,REGULAR AIR,2009-10-17,SHP_68,both
8391,2011-08-28,HIGH,Ord_53,DELIVERY TRUCK,2011-08-29,SHP_69,both
8833,2012-04-05,LOW,Ord_55,REGULAR AIR,2012-08-05,SHP_72,both
9126,2009-11-17,MEDIUM,Ord_57,REGULAR AIR,2009-11-18,SHP_76,both
9127,2011-10-10,NOT SPECIFIED,Ord_58,EXPRESS AIR,2011-12-10,SHP_77,both
9763,2011-08-13,MEDIUM,Ord_60,REGULAR AIR,2011-08-16,SHP_81,both
10022,2009-04-03,LOW,Ord_62,REGULAR AIR,2009-04-03,SHP_85,both
10437,2009-08-18,CRITICAL,Ord_63,REGULAR AIR,2009-08-20,SHP_86,both
10499,2010-11-16,NOT SPECIFIED,Ord_64,DELIVERY TRUCK,2010-11-17,SHP_87,both
10789,2010-08-23,NOT SPECIFIED,Ord_66,EXPRESS AIR,2010-08-24,SHP_90,both
10791,2011-08-19,NOT SPECIFIED,Ord_67,REGULAR AIR,2011-08-21,SHP_91,both
10945,2012-03-01,MEDIUM,Ord_68,REGULAR AIR,2012-05-01,SHP_92,both
11137,2012-11-29,HIGH,Ord_69,REGULAR AIR,2012-11-30,SHP_93,both
11202,2012-03-17,MEDIUM,Ord_70,REGULAR AIR,2012-03-18,SHP_94,both
11456,2010-12-04,LOW,Ord_71,REGULAR AIR,2010-04-19,SHP_95,both
11460,2010-08-24,HIGH,Ord_72,REGULAR AIR,2010-08-26,SHP_96,both
11495,2011-04-07,HIGH,Ord_73,DELIVERY TRUCK,2011-05-07,SHP_97,both
11911,2010-10-11,CRITICAL,Ord_74,REGULAR AIR,2010-12-11,SHP_98,both
12289,2011-12-24,LOW,Ord_77,REGULAR AIR,2011-12-28,SHP_103,both
12352,2012-03-23,MEDIUM,Ord_78,REGULAR AIR,2012-03-24,SHP_104,both
12419,2011-10-15,CRITICAL,Ord_79,REGULAR AIR,2011-10-17,SHP_105,both
12485,2010-07-08,CRITICAL,Ord_80,DELIVERY TRUCK,2010-08-08,SHP_106,both
12544,2009-03-03,LOW,Ord_81,REGULAR AIR,2009-10-03,SHP_107,both
13280,2009-11-09,HIGH,Ord_85,REGULAR AIR,2009-12-09,SHP_114,both
13346,2012-11-15,LOW,Ord_87,REGULAR AIR,2012-11-20,SHP_116,both
13702,2011-10-09,LOW,Ord_88,REGULAR AIR,2011-09-14,SHP_117,both
14372,2012-10-23,CRITICAL,Ord_91,DELIVERY TRUCK,2012-10-25,SHP_123,both
14726,2012-08-01,LOW,Ord_92,REGULAR AIR,2012-08-01,SHP_124,both
15108,2009-08-27,HIGH,Ord_95,REGULAR AIR,2009-08-29,SHP_129,both
15591,2012-06-06,CRITICAL,Ord_97,REGULAR AIR,2012-08-06,SHP_132,both
16039,2012-05-16,HIGH,Ord_100,REGULAR AIR,2012-05-17,SHP_138,both
16193,2012-09-04,NOT SPECIFIED,Ord_101,REGULAR AIR,2012-11-04,SHP_139,both
16423,2012-05-08,MEDIUM,Ord_102,REGULAR AIR,2012-07-08,SHP_140,both
16451,2009-07-22,NOT SPECIFIED,Ord_103,REGULAR AIR,2009-07-23,SHP_141,both
16545,2010-09-05,NOT SPECIFIED,Ord_104,REGULAR AIR,2010-11-05,SHP_142,both
16741,2010-09-30,MEDIUM,Ord_107,REGULAR AIR,2010-01-10,SHP_147,both
17283,2011-09-14,NOT SPECIFIED,Ord_109,DELIVERY TRUCK,2011-09-15,SHP_150,both
17286,2010-09-21,HIGH,Ord_110,DELIVERY TRUCK,2010-09-22,SHP_151,both
17409,2010-08-17,NOT SPECIFIED,Ord_111,REGULAR AIR,2010-08-19,SHP_152,both
17764,2009-09-16,LOW,Ord_112,REGULAR AIR,2009-09-16,SHP_153,both
18080,2009-06-22,HIGH,Ord_113,DELIVERY TRUCK,2009-06-23,SHP_154,both
18113,2012-08-28,NOT SPECIFIED,Ord_114,DELIVERY TRUCK,2012-08-30,SHP_155,both
18144,2011-07-06,CRITICAL,Ord_115,REGULAR AIR,2011-09-06,SHP_156,both
18887,2010-05-12,NOT SPECIFIED,Ord_117,REGULAR AIR,2010-07-12,SHP_160,both
19010,2009-07-06,LOW,Ord_118,REGULAR AIR,2009-09-06,SHP_161,both
19078,2009-07-27,CRITICAL,Ord_119,REGULAR AIR,2009-07-28,SHP_162,both
19138,2011-05-09,LOW,Ord_120,EXPRESS AIR,2011-10-09,SHP_163,both
19655,2009-11-01,HIGH,Ord_121,REGULAR AIR,2009-12-01,SHP_164,both
20007,2009-05-08,NOT SPECIFIED,Ord_123,REGULAR AIR,2009-06-08,SHP_167,both
